"ik","stem","category","exponent","index","v_form","v_base","v_suffix","v_freq","nv_form","nv_base","nv_suffix","nv_freq","dupl","ikfreq","stemfreq","odds","log_odds","form_freq","log_form_freq","log_ikfreq","log_stemfreq","outlier_form","outlier_stem","diff_freq","log_diff_freq","n_q_types","cluster","C1","C2","homorganic","C1son","C2son","sonority","syl_count","compound","free.stem","intransitive","gloss_stem","phon_stem","cvc_weight_nak_nof","cvc_weight_anak_nof","c.sonority","c.log_ikfreq","c.log_stemfreq","cvc_freq","cc_freq","transitive","cvc_weight_nak","pred","stem_nv_freq","stem_v_freq","stem_odds","log_stem_odds"
"dohányzik","dohány","Q","[nAk]","dohány [nAk]","dohányoznak","dohányoz","nAk",606,"dohányzanak","dohányz","AnAk",1,FALSE,1314,5585,303.5,5.71538161049955,607,6.41017488196617,7.18083119904456,8.6278397115033,FALSE,FALSE,4271,8.35960327084147,7,"nyz","ny","z","FALSE",4,5,1,"2","0","1",0,"smoke","dohaːɲzik",0.995517187874405,0.92069627820312,-2.53846153846154,-1.13230324683181,-0.400880966976503,606,1,"TRUE",0.995517187874405,0.996406981537701,3,2253,563.5,6.33416733347983
"elhangzik","elhang","Q","[tAk]","elhang [tAk]","elhangoztak","elhangoz","tAk",89,"elhangzottak","elhangz","OttAk",0,FALSE,2545,38189,90,4.49980967033027,89,4.49980967033027,7.84188592898462,10.5503027950116,FALSE,FALSE,35644,10.4813361087326,7,"gz","g","z","FALSE",7,5,-2,"2","1","1",1,"be voiced","ɛlhɒngzik",0.185338130818311,0.0588418810906604,0.461538461538461,-1.79335797677187,-2.3233440504848,89,0,"FALSE",0.185338130818311,0.235187288688714,1061,192,0.181732580037665,-1.705219012897
"elhangzik","elhang","Q","[nAk]","elhang [nAk]","elhangoznak","elhangoz","nAk",46,"elhangzanak","elhangz","AnAk",937,FALSE,2545,38189,0.0501066098081023,-2.99360234729617,983,6.89162589705225,7.84188592898462,10.5503027950116,FALSE,FALSE,35644,10.4813361087326,7,"gz","g","z","FALSE",7,5,-2,"2","1","1",1,"be voiced","ɛlhɒngzik",0.185338130818311,0.0588418810906604,0.461538461538461,-1.79335797677187,-2.3233440504848,46,937,"FALSE",0.185338130818311,0.11262690346605,1061,192,0.181732580037665,-1.705219012897
"elhangzik","elhang","Q","[tOk]","elhang [tOk]","elhangoztok","elhangoz","tOk",0,"elhangzotok","elhangz","OtOk",0,FALSE,2545,38189,1,0,0,0,7.84188592898462,10.5503027950116,FALSE,FALSE,35644,10.4813361087326,7,"gz","g","z","FALSE",7,5,-2,"2","1","1",1,"be voiced","ɛlhɒngzik",0.185338130818311,0.0588418810906604,0.461538461538461,-1.79335797677187,-2.3233440504848,0,0,"FALSE",0.185338130818311,0.834118943603318,1061,192,0.181732580037665,-1.705219012897
"elhangzik","elhang","Q","[nA]","elhang [nA]","elhangozna","elhangoz","nA",20,"elhangzana","elhangz","AnA",23,FALSE,2545,38189,0.875,-0.133531392624523,43,3.78418963391826,7.84188592898462,10.5503027950116,FALSE,FALSE,35644,10.4813361087326,7,"gz","g","z","FALSE",7,5,-2,"2","1","1",1,"be voiced","ɛlhɒngzik",0.185338130818311,0.0588418810906604,0.461538461538461,-1.79335797677187,-2.3233440504848,20,23,"FALSE",0.185338130818311,0.296492572553128,1061,192,0.181732580037665,-1.705219012897
"elhangzik","elhang","Q","[ni]","elhang [ni]","elhangozni","elhangoz","ni",37,"elhangzani","elhangz","Ani",101,FALSE,2545,38189,0.372549019607843,-0.987386653557885,138,4.93447393313069,7.84188592898462,10.5503027950116,FALSE,FALSE,35644,10.4813361087326,7,"gz","g","z","FALSE",7,5,-2,"2","1","1",1,"be voiced","ɛlhɒngzik",0.185338130818311,0.0588418810906604,0.461538461538461,-1.79335797677187,-2.3233440504848,37,101,"FALSE",0.185338130818311,0.343374767932088,1061,192,0.181732580037665,-1.705219012897
"feslik","fes","Q","[tAk]","fes [tAk]","feseltek","fesel","tAk",1,"feslettek","fesl","OttAk",8,FALSE,18,205,0.222222222222222,-1.50407739677627,9,2.30258509299405,2.89037175789616,5.32300997913841,FALSE,FALSE,187,5.23110861685459,7,"sl","s","l","FALSE",6,3,-3,"1","0","0",1,"peel","fɛʃlik",0.972108003892406,0.948229211552696,1.46153846153846,3.15815619431659,2.90394876538839,1,8,"FALSE",0.972108003892406,0.133114790073509,19,3,0.2,-1.6094379124341
"feslik","fes","Q","[tOk]","fes [tOk]","feseltek","fesel","tOk",1,"fesletek","fesl","OtOk",0,FALSE,18,205,2,0.693147180559945,1,0.693147180559945,2.89037175789616,5.32300997913841,FALSE,FALSE,187,5.23110861685459,7,"sl","s","l","FALSE",6,3,-3,"1","0","0",1,"peel","fɛʃlik",0.972108003892406,0.948229211552696,1.46153846153846,3.15815619431659,2.90394876538839,1,0,"FALSE",0.972108003892406,0.715176380626937,19,3,0.2,-1.6094379124341
"feslik","fes","Q","[ni]","fes [ni]","feselni","fesel","ni",0,"fesleni","fesl","Ani",1,FALSE,18,205,0.5,-0.693147180559945,1,0.693147180559945,2.89037175789616,5.32300997913841,FALSE,FALSE,187,5.23110861685459,7,"sl","s","l","FALSE",6,3,-3,"1","0","0",1,"peel","fɛʃlik",0.972108003892406,0.948229211552696,1.46153846153846,3.15815619431659,2.90394876538839,0,1,"FALSE",0.972108003892406,0.207060339670786,19,3,0.2,-1.6094379124341
"feslik","fes","Q","[nAk]","fes [nAk]","feselnek","fesel","nAk",1,"feslenek","fesl","AnAk",9,FALSE,18,205,0.2,-1.6094379124341,10,2.39789527279837,2.89037175789616,5.32300997913841,FALSE,FALSE,187,5.23110861685459,7,"sl","s","l","FALSE",6,3,-3,"1","0","0",1,"peel","fɛʃlik",0.972108003892406,0.948229211552696,1.46153846153846,3.15815619431659,2.90394876538839,1,9,"FALSE",0.972108003892406,0.0596010604645415,19,3,0.2,-1.6094379124341
